WDS,plx_origin,plx,plx_err,kepler_min,kepler,kepler_max,gmass_min,gmass,gmass_max,gmass1_min,gmass1,gmass1_max,gmass2_min,gmass2,gmass2_max,plx_origin0,plx0,plx_err0,kepler0,rHo,PA
09376+1528,Hip97,7.26,1.64,0.34,3.101,21.07,2.177,2.458,2.839,1.166,1.325,1.533,1.011,1.133,1.305,Hip97,7.26,1.64,2.726,0.43,192
09457-3902,EDR3,50.593,0.315,0.279,0.834,2.728,0.67,0.756,0.851,0.357,0.406,0.45,0.313,0.35,0.401,EDR3,50.593,0.315,0.821,0.5,50
09488-5237,EDR3,38.131,0.019,0.493,1.477,4.819,1.318,1.398,1.483,0.82,0.868,0.922,0.497,0.529,0.561,EDR3,38.131,0.019,1.449,1.15,330
09524+2659,Hip07,17.38,1.77,0.634,1.99,6.826,1.737,1.85,1.976,0.89,0.949,1.014,0.846,0.901,0.962,Hip07,17.38,1.77,1.921,2.48,290
09551-2632,DR2,24.629,0.79,0.261,2.118,11.781,1.555,1.654,1.764,0.818,0.867,0.921,0.737,0.787,0.842,DR2,24.629,0.79,1.961,0.86,122
09591+5316,EDR3,9.519,0.238,1.699,2.294,3.066,2.139,2.303,2.503,1.158,1.265,1.371,0.981,1.038,1.131,EDR3,9.519,0.238,2.291,0.5,165
10043-2823,Hip07,12.24,1,1.825,2.486,3.418,2.36,2.588,2.832,1.211,1.324,1.452,1.149,1.264,1.381,Hip07,12.24,1,2.478,0.77,302
10110+7508,EDR3,47.501,0.013,0.787,1.171,1.711,1.109,1.188,1.28,0.556,0.595,0.641,0.553,0.593,0.638,EDR3,47.501,0.013,1.168,1.95,122
10140+2227,3rd light,16.576,0.021,0.17,1.391,7.656,1.429,1.516,1.619,0.709,0.751,0.802,0.721,0.765,0.817,Hip97,15.47,3.59,1.582,0.52,327
10192+2034,EDR3,20.235,0.21,1.53,1.869,2.272,1.571,1.667,1.773,0.839,0.887,0.939,0.732,0.779,0.833,EDR3,20.235,0.21,1.868,0.71,313
10217-0946,Hip07,16.68,1.18,0.662,2.031,6.788,1.895,2.018,2.178,0.989,1.056,1.155,0.906,0.962,1.023,Hip07,16.68,1.18,1.981,1.54,130
10227+1521,EDR3,34.519,0.017,1.253,1.528,1.852,1.54,1.638,1.733,0.914,0.967,1.023,0.626,0.671,0.71,EDR3,34.519,0.017,1.527,2.29,231
10250+2437,EDR3,14.121,0.1,0.681,2.041,6.699,1.873,1.984,2.108,0.938,0.994,1.057,0.935,0.99,1.051,EDR3,14.121,0.1,2.005,0.82,155
10361-2641,Hip97,22.72,1.11,1.887,2.188,2.553,2.173,2.339,2.549,1.193,1.301,1.416,0.98,1.038,1.133,Hip97,22.72,1.11,2.187,1.33,305
10387+0544,Hip97,14.36,1.64,1.755,2.429,3.492,2.233,2.464,2.723,1.172,1.296,1.429,1.061,1.169,1.294,Hip97,14.36,1.64,2.427,1.83,334
10480+4107,EDR3,8.473,0.216,3.087,3.817,4.697,2.936,3.217,3.538,1.509,1.655,1.824,1.427,1.561,1.714,EDR3,8.473,0.216,3.814,0.65,253
10557+0044,DR2,21.967,0.216,1.539,2.063,2.7,2.237,2.411,2.607,1.384,1.51,1.654,0.853,0.901,0.953,DR2,21.967,0.216,2.063,1.12,51
10585+1711,EDR3,10.139,0.09,1.745,2.126,2.591,1.815,1.92,2.034,0.904,0.957,1.013,0.911,0.964,1.021,EDR3,10.139,0.09,2.124,0.53,170
11017+3641,DR2,15.444,0.389,0.211,1.726,9.534,1.25,1.341,1.421,0.641,0.683,0.724,0.61,0.657,0.697,DR2,15.444,0.389,1.593,0.66,47
11050+3825,Hip07,7.35,1.05,0.503,2.566,12.704,2.583,2.88,3.233,1.408,1.573,1.776,1.175,1.308,1.457,Hip07,7.35,1.05,2.455,1.08,237
11101-3822,EDR3,18.439,0.067,0.557,1.667,5.447,1.562,1.655,1.757,0.868,0.921,0.974,0.694,0.735,0.783,EDR3,18.439,0.067,1.638,0.77,7
11105-3732,EDR3,26.974,0.033,0.137,1.114,6.148,1.022,1.086,1.156,0.527,0.558,0.598,0.495,0.527,0.558,EDR3,26.974,0.033,1.032,1.55,207
11136+5525,Hip07,10.89,1.15,1.979,2.844,4.18,2.406,2.648,2.921,1.266,1.39,1.539,1.14,1.259,1.382,Hip07,10.89,1.15,2.837,0.56,209
