WDS,plx_origin,plx,plx_err,kepler_min,kepler,kepler_max,gmass_min,gmass,gmass_max,gmass1_min,gmass1,gmass1_max,gmass2_min,gmass2,gmass2_max,plx_origin0,plx0,plx_err0,kepler0,rho,PA
01200-1549,H97,19.67,1.58,1.816,2.549,3.579,2.144,2.347,2.572,1.104,1.208,1.321,1.04,1.139,1.251,H97,19.67,1.58,2.547,2.35,338
01218-2408,H07,11.62,1.45,0.292,2.468,14.496,1.985,2.149,2.378,1.018,1.116,1.235,0.967,1.032,1.144,H07,11.62,1.45,2.246,1.26,177
01388-1758,DR3,371.924,0.415,0.242,0.245,0.249,0.254,0.278,0.306,0.132,0.144,0.159,0.123,0.134,0.147,DR3,371.924,0.415,0.245,2.26,10
01409+4952,3rd,12.271,0.024,0.587,1.754,5.731,1.633,1.733,1.836,0.829,0.875,0.929,0.804,0.858,0.907,3rd,12.271,0.024,1.723,0.45,357
01424-0645,H97,7.74,3.57,0.683,3.654,32.527,2.23,2.695,3.626,1.104,1.334,1.789,1.126,1.362,1.837,H97,7.74,3.57,3.189,0.79,253
01437+0934,DR3,19.254,0.076,1.44,1.756,2.13,1.67,1.773,1.877,0.862,0.913,0.966,0.809,0.86,0.911,DR3,19.254,0.076,1.755,0.75,43
01450+5707,DR3,13.421,0.039,0.556,1.669,5.461,1.679,1.778,1.884,0.861,0.911,0.964,0.818,0.867,0.92,DR3,13.421,0.039,1.639,0.8,111
01477-4358,DR3,6.962,0.118,2.703,3.045,3.43,2.672,2.91,3.181,1.402,1.532,1.679,1.27,1.377,1.502,DR3,6.962,0.118,3.044,0.52,206
01500-0408,DR3,15.988,0.03,1.083,1.405,1.83,1.526,1.631,1.734,0.785,0.84,0.888,0.741,0.791,0.846,DR3,15.988,0.03,1.404,0.81,182
01532+1526,DR3,10.163,0.029,1.898,2.432,3.068,2.196,2.385,2.597,1.126,1.223,1.328,1.07,1.163,1.269,DR3,10.163,0.029,2.431,1.13,260
02104-5049,DR3,92.901,0.044,0.121,0.985,5.427,0.948,1.017,1.087,0.803,0.857,0.906,0.145,0.161,0.181,tgas,88.87,0.92,1.036,2.57,83
02140+4729,dr2,24.001,0.108,2.249,2.411,2.582,2.249,2.444,2.658,1.193,1.296,1.407,1.056,1.148,1.252,dr2,24.001,0.108,2.412,1.37,307
02158-1814,DR3,43.472,0.017,0.936,1.44,2.346,1.41,1.497,1.595,0.735,0.783,0.838,0.675,0.714,0.757,DR3,43.472,0.017,1.436,1.98,164
02198-3527,H07,29.49,1.86,0.733,1.809,5.17,1.517,1.626,1.733,0.77,0.825,0.876,0.747,0.8,0.857,H07,29.49,1.86,1.775,2.33,242
02211+4246,H97,16.36,1.49,1.407,1.883,2.575,1.707,1.817,1.936,0.861,0.918,0.978,0.846,0.899,0.958,H97,16.36,1.49,1.876,0.71,206
02232-2952,H07,25.63,0.88,1.109,2.034,3.939,1.888,1.997,2.141,0.968,1.023,1.113,0.92,0.974,1.029,H07,25.63,0.88,2.015,1.98,212
02291+6724,H07,24.55,0.81,0.424,3.493,19.35,2.815,3.096,3.406,1.735,1.924,2.125,1.08,1.172,1.281,H07,24.55,0.81,3.222,2.8,230
